Fuente,Tipo,Tipo Colav,Entidad Actual,COAR Contolled Vocabularies for Repositories,Tab interface,link impactu,% sobre artículos Udea,count,Notas
scienti,1: Producción bibliográfica 11: Artículo 113: Revisión (Survey) ,Artículo de revisión,works,Controlled Vocabularies for Repositories: review article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Revisi%C3%B3n+%28Survey%29_113,5.67,,
scienti,1: Producción bibliográfica 11: Artículo 114: Caso clínico ,Caso clínico,works,Controlled Vocabularies for Repositories: clinical study,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Caso+cl%C3%ADnico_114,2,,
scienti,1: Producción bibliográfica 12: Trabajos en eventos (Capítulos de memoria) 121: Completo ,Artículo de conferencia,works,Controlled Vocabularies for Repositories: conference paper,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Trabajos+en+eventos+%28Cap%C3%ADtulos+de+memoria%29_12,7.93,,
scienti,1: Producción bibliográfica 12: Trabajos en eventos (Capítulos de memoria) 122: Resumen ,Artículo de conferencia,works,Controlled Vocabularies for Repositories: conference paper,productos,,,,
scienti,1: Producción bibliográfica 13: Libro 131: Otro libro publicado ,Libro,works,Controlled Vocabularies for Repositories: book,productos,,,,
scienti,1: Producción bibliográfica 13: Libro 132: Capítulo de libro ,Capítulo de libro,works,Controlled Vocabularies for Repositories: book part,productos,,,,
scienti,1: Producción bibliográfica 13: Libro 133: Libro pedagógico y/o de divulgación ,Libro,works,Controlled Vocabularies for Repositories: book,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Libro+pedag%C3%B3gico+y%2Fo+de+divulgaci%C3%B3n_133,0.77,,
scienti,1: Producción bibliográfica 13: Libro 134: Libro resultado de investigación ,Libro,works,Controlled Vocabularies for Repositories: book,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Libro+resultado+de+investigaci%C3%B3n_134,5.94,,
scienti,1: Producción bibliográfica 13: Libro 135: Otro capítulo de libro publicado ,Capítulo de libro,works,Controlled Vocabularies for Repositories: book part,productos,,,,
scienti,1: Producción bibliográfica 13: Libro 136: Traducciones Filológicas y Edición de Fuentes ,Libro,works,Controlled Vocabularies for Repositories: book,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Traducciones+Filol%C3%B3gicas+y+Edici%C3%B3n+de+Fuentes_136,,,
scienti,1: Producción bibliográfica 13: Libro 137: Libro de creación ,Libro,works,Controlled Vocabularies for Repositories: book,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Libro+de+creaci%C3%B3n_137,0.07,,
scienti,1: Producción bibliográfica 13: Libro 138: Libros de formación ,Libro,works,Controlled Vocabularies for Repositories: book,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Libros+de+formaci%C3%B3n_138,0.72,,
scienti,1: Producción bibliográfica 13: Libro 139: Libros de divulgación y/o Compilación de divulgación ,Libro,works,Controlled Vocabularies for Repositories: book,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Libros+de+divulgaci%C3%B3n+y%2Fo+Compilaci%C3%B3n+de+divulgaci%C3%B3n_139,1.2,,
scienti,1: Producción bibliográfica 13: Libro 140: Manuales y Guías Especializadas ,Manual,works,,productos,,,,Requerido por Minciencias
scienti,1: Producción bibliográfica 14: Otro artículo publicado 141: Periódico de noticias ,Artículo de periódico ,works,Controlled Vocabularies for Repositories: newspaper article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Peri%C3%B3dico+de+noticias_141,3.49,,
scienti,1: Producción bibliográfica 14: Otro artículo publicado 142: Revista de divulgación ,Artículo de divulgación,works,,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Revista+de+divulgaci%C3%B3n_142,9.31,,
scienti,1: Producción bibliográfica 14: Otro artículo publicado 143: Carta al editor ,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Carta+al+editor_143,0.07,,
scienti,1: Producción bibliográfica 14: Otro artículo publicado 144: Reseña de libro ,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Rese%C3%B1a+de+libro_144,0.27,,
scienti,1: Producción bibliográfica 14: Otro artículo publicado 145: Columna de opinión ,Artículo,works,Resource Types: journal article,productos,https://impactu.colav.co/affiliation/institution/03bp5hc83/research/products?max=10&page=1&sort=citations_desc&product_types=scienti_Columna+de+opini%C3%B3n_145,0.27,,
